name,birth_date,birth_place
Albert Einstein,"March 14, 1879","Ulm, Germany"
Eleanor Roosevelt,"October 11, 1884",The United States
J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
Thomas A. Edison,"February 11, 1847","Milan, Ohio, The United States"
Steve Martin,"August 14, 1945","Waco, Texas, The United States"
Marilyn Monroe,"June 01, 1926",The United States
André Gide,"November 22, 1869","Paris, France"
Jane Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom"
Mark Twain,"November 30, 1835","Florida, Missouri, The United States"
Allen Saunders,"April 24, 1899",The United States
Friedrich Nietzsche,"October 15, 1844","Röcken bei Lützen, Prussian Province of Saxony, Germany"
Elie Wiesel,"September 30, 1928","Sighet, Romania"
Douglas Adams,"March 11, 1952","Cambridge, England, The United Kingdom"
Dr. Seuss,"March 02, 1904","Springfield, MA, The United States"
Bob Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica"
Jim Henson,"September 24, 1936","Greenville, Mississippi, The United States"
Garrison Keillor,"August 07, 1942","Anoka, Minnesota, The United States"
Mother Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of"
Jorge Luis Borges,"August 24, 1899","Buenos Aires, Argentina"
Ralph Waldo Emerson,"May 25, 1803","Boston, Massachusetts, The United States"
Pablo Neruda,"July 12, 1904","Parral, Chile"
George Eliot,"November 22, 1819","South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
William Nicholson,"January 12, 1948","Lewes, Sussex, The United Kingdom"
Charles M. Schulz,"November 26, 1922","Minneapolis, MN, The United States"
James Baldwin,"August 02, 1924","Harlem, New York, The United States"
Martin Luther King Jr.,"January 15, 1929","Atlanta, Georgia, The United States"
C.S. Lewis,"November 29, 1898","Belfast, Ireland"
George R.R. Martin,"September 20, 1948","Bayonne, New Jersey, The United States"
Ernest Hemingway,"July 21, 1899","Oak Park, Illinois, The United States"
George Bernard Shaw,"July 26, 1856","Dublin, Ireland"
Stephenie Meyer,"December 24, 1973","Connecticut, The United States"
Helen Keller,"June 27, 1880","Tuscumbia, Alabama, The United States"
Alexandre Dumas-fils,"July 27, 1824","Paris, France"
Haruki Murakami,"January 12, 1949","Kyoto, Japan"
Suzanne Collins,"August 11, 1962","Hartford, Connecticut, The United States"
J.R.R. Tolkien,"January 03, 1892","Bloemfontein, Mangaung, Free State, South Africa"
Charles Bukowski,"August 16, 1920","Andernach, Germany"
W.C. Fields,"January 29, 1880","Darby, Pennsylvania, The United States"
Ayn Rand,"February 02, 1905","St. Petersburg, Russian Federation"
John Lennon,"October 09, 1940","Liverpool, England, The United Kingdom"
George Carlin,"May 12, 1937","New York, New York, The United States"
J.D. Salinger,"January 01, 1919","Manhattan, New York, The United States"
Terry Pratchett,"April 28, 1948","Beaconsfield, Buckinghamshire, England, The United Kingdom"
Alfred Tennyson,"August 06, 1809","Somersby, Lincolnshire, The United Kingdom"
Khaled Hosseini,"March 04, 1965","Kabul, Afghanistan"
Harper Lee,"April 28, 1926","Monroeville, Alabama, The United States"
E.E. Cummings,"October 14, 1894","Cambridge, Massachusetts, The United States"
J.M. Barrie,"May 09, 1860","Kirriemuir, Angus, Scotland, The United Kingdom"
Jimi Hendrix,"November 27, 1942","Seattle, Washington, The United States"
Madeleine L'Engle,"November 29, 1918","New York City, New York, The United States"
