player_name,stats
 Kareem Abdul-Jabbar,"{'games_played': 1560, 'points_per_game': 24.6, 'rebounds_per_game': 11.2, 'assists_per_game': 3.6}"
 Tim Duncan,"{'games_played': 1392, 'points_per_game': 19.0, 'rebounds_per_game': 10.8, 'assists_per_game': 3.0}"
 Julius Erving,"{'games_played': 1243, 'points_per_game': 24.2, 'rebounds_per_game': 8.5, 'assists_per_game': 4.2}"
 Clyde Drexler,"{'games_played': 1086, 'points_per_game': 20.4, 'rebounds_per_game': 6.1, 'assists_per_game': 5.6}"
 Vlade Divac,"{'games_played': 1134, 'points_per_game': 11.8, 'rebounds_per_game': 8.2, 'assists_per_game': 3.1}"
 Harry Gallatin,"{'games_played': 682, 'points_per_game': 13.0, 'rebounds_per_game': 11.9, 'assists_per_game': 1.8}"
 Wayne Embry,"{'games_played': 831, 'points_per_game': 12.5, 'rebounds_per_game': 9.1, 'assists_per_game': 1.4}"
 Joe Fulks,"{'games_played': 489, 'points_per_game': 16.4, 'rebounds_per_game': 5.3, 'assists_per_game': 1.2}"
 Alex English,"{'games_played': 1193, 'points_per_game': 21.5, 'rebounds_per_game': 5.5, 'assists_per_game': 3.6}"
 Arvydas Sabonis,"{'games_played': 470, 'points_per_game': 12.0, 'rebounds_per_game': 7.3, 'assists_per_game': 2.1}"
 George Yardley,"{'games_played': 472, 'points_per_game': 19.2, 'rebounds_per_game': 8.9, 'assists_per_game': 1.7}"
 James Worthy,"{'games_played': 926, 'points_per_game': 17.6, 'rebounds_per_game': 5.1, 'assists_per_game': 3.0}"
 Joe Dumars,"{'games_played': 1018, 'points_per_game': 16.1, 'rebounds_per_game': 2.2, 'assists_per_game': 4.5}"
 Walt Frazier,"{'games_played': 825, 'points_per_game': 18.9, 'rebounds_per_game': 5.9, 'assists_per_game': 6.1}"
 Dave DeBusschere,"{'games_played': 875, 'points_per_game': 16.1, 'rebounds_per_game': 11.0, 'assists_per_game': 2.9}"
 Adrian Dantley,"{'games_played': 955, 'points_per_game': 24.3, 'rebounds_per_game': 5.7, 'assists_per_game': 3.0}"
 Patrick Ewing,"{'games_played': 1183, 'points_per_game': 21.0, 'rebounds_per_game': 9.8, 'assists_per_game': 1.9}"
 Dominique Wilkins,"{'games_played': 1074, 'points_per_game': 24.8, 'rebounds_per_game': 6.7, 'assists_per_game': 2.5}"
 Lenny Wilkens,"{'games_played': 1077, 'points_per_game': 16.5, 'rebounds_per_game': 4.7, 'assists_per_game': 6.7}"
 Bob Davies,"{'games_played': 462, 'points_per_game': 14.3, 'rebounds_per_game': 2.9, 'assists_per_game': 4.9}"
 Mel Daniels,"{'games_played': 639, 'points_per_game': 18.4, 'rebounds_per_game': 14.9, 'assists_per_game': 1.8}"
 Bill Walton,"{'games_played': 468, 'points_per_game': 13.3, 'rebounds_per_game': 10.5, 'assists_per_game': 3.4}"
