title,rating,price,stock,category
Tipping the Velvet,1,53.74,20,Historical Fiction
Soumission,1,50.1,20,Fiction
Sharp Objects,4,47.82,20,Mystery
A Light in the Attic,3,51.77,22,Poetry
title,rating,price,stock,category
A Light in the Attic,3,51.77,22,Poetry
The Requiem Red,1,22.65,19,Young Adult
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,19,Default
The Dirty Little Secrets of Getting Your Dream Job,4,33.34,19,Business
Sapiens: A Brief History of Humankind,5,54.23,20,History
Sharp Objects,4,47.82,20,Mystery
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,19,Default
Soumission,1,50.1,20,Fiction
Tipping the Velvet,1,53.74,20,Historical Fiction
The Black Maria,1,52.15,19,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,19,Default
Shakespeare's Sonnets,4,20.66,19,Poetry
Set Me Free,5,17.46,19,Young Adult
Rip it Up and Start Again,5,35.02,19,Music
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,19,Sequential Art
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,19,Music
Olio,1,23.88,19,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,19,Science Fiction
Libertarianism for Beginners,2,51.33,19,Politics
It's Only the Himalayas,2,45.17,19,Travel
In Her Wake,1,12.84,19,Thriller
How Music Works,2,37.32,19,Music
Chase Me (Paris Nights #2),5,25.27,19,Romance
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,19,Food and Drink
Black Dust,5,34.53,19,Romance
Birdsong: A Story in Pictures,3,54.64,19,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,19,Default
Aladdin and His Wonderful Lamp,3,53.13,19,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,40.3,18,Nonfiction
Wall and Piece,4,44.18,18,Art
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,18,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,18,Nonfiction
The Elephant Tree,5,23.82,18,Thriller
The Bear and the Piano,1,36.89,18,Childrens
Sophie's World,5,15.94,18,Philosophy
Penny Maybe,3,33.29,18,Default
Maude (1883-1993):She Grew Up with the country,2,18.02,18,Default
"In a Dark, Dark Wood",1,19.63,18,Mystery
Behind Closed Doors,4,52.22,18,Thriller
You can't bury them all: Poems,2,33.63,17,Poetry
Slow States of Collapse: Poems,3,57.31,17,Poetry
Reasons to Stay Alive,2,26.41,17,Nonfiction
Private Paris (Private #10),5,47.61,17,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,17,Nonfiction
Without Borders (Wanderlove #1),2,45.07,16,New Adult
When We Collided,1,31.77,16,Contemporary
Untitled Collection: Sabbath Poems 2014,4,14.27,16,Poetry
"We Love You, Charlie Freeman",5,50.27,16,Fiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,16,Nonfiction
Unicorn Tracks,3,18.78,16,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,16,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,16,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,16,Nonfiction
This One Summer,4,19.49,16,Sequential Art
Thirst,5,17.27,16,Fiction
The Torch Is Passed: A Harding Family Story,1,19.09,16,Add a comment
The Secret of Dreadwillow Carse,1,56.13,16,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,16,Food and Drink
The Past Never Ends,4,56.5,16,Mystery
The Natural History of Us (The Fine Art of Pretending #2),3,45.22,16,Young Adult
The Nameless City (The Nameless City #1),4,38.16,16,Sequential Art
The Murder That Never Was (Forensic Instincts #5),3,54.11,16,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96,16,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89,16,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,16,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,16,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,16,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,16,Nonfiction
The Death of Humanity: and the Case for Life,4,58.11,16,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,16,Health
The Art Forger,3,40.76,16,Add a comment
